exchange,symbol,open,close,high,low,amount,volume,position,bob,eob,type
DCE,y2508,7708.0,7696.0,7734.0,7666.0,35232880.0,458,8762,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,y2509,7706.0,7688.0,7722.0,7658.0,27390938940.0,356149,579312,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,y2511,7706.0,7694.0,7728.0,7670.0,9390920.0,122,3309,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,y2512,7742.0,7724.0,7760.0,7706.0,2858540.0,37,1670,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,y2601,7666.0,7646.0,7680.0,7626.0,2554569540.0,33397,161696,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,y2603,7560.0,7542.0,7646.0,7534.0,3174920.0,42,954,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
DCE,y2605,7446.0,7402.0,7446.0,7390.0,78184760.0,1056,6058,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
GFEX,lc9999,60180.0,61080.0,61560.0,59340.0,24948506880.0,413239,245650,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
GFEX,lc9998,59920.0,61220.0,61840.0,59520.0,9297771700.0,153267,173452,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
GFEX,ps9999,34300.0,35055.0,35340.0,33840.0,27301231365.0,262747,67873,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
GFEX,ps9998,33700.0,34205.0,34375.0,33005.0,4815425940.0,47615,44288,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
GFEX,si9999,7150.0,7280.0,7330.0,6990.0,28950083100.0,806934,180328,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
GFEX,si9998,7140.0,7300.0,7350.0,7015.0,13986727225.0,389083,263620,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
GFEX,lc2506,59800.0,61220.0,61220.0,59700.0,23205640.0,385,1417,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
GFEX,lc2507,60180.0,61080.0,61560.0,59340.0,24948506880.0,413239,245650,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
GFEX,lc2508,60100.0,61140.0,61740.0,59520.0,1726533000.0,28520,57063,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
GFEX,lc2509,59920.0,61220.0,61840.0,59520.0,9297771700.0,153267,173452,2025-06-04 00:00:00+08:00,2025-06-04 00:00:00+08:00,14
